Article Code,Article Description,EAN Code,Brand,Category,Sub-category,Range,Pack Size
MAM0134,100% Natural Berry Blast Toothpaste for Kids 50gm,8906087770527.0,Mamaearth,Baby,Oral,Berry Blast,50.0
MAM0407,Rice Face Wash 100 ml,8906087779032.0,Mamaearth,Face,Face Cleanser,Rice,100.0
MAM0158,Charcoal Facewash for oil control 100ml,8906087770657.0,Mamaearth,Face,Face Cleanser,Charcoal,100.0
361175.0,Easy Tummy Roll On 40ml,8906087770152.0,Mamaearth,Baby,OTC,Solution Oriented,40.0
THE0428,The Derma 1% Salicylic Acid Gel Face Wash,8906087775645.0,The Derma Co.,Face,Face Cleanser,Salicylic Acid,100.0
420082.0,Rosemary Anti-Hair Fall Conditioner250ml,8904417307757.0,Mamaearth,Hair,Conditioner,Rosemary,250.0
THE0430,2% SALICYLIC ACID SERUM 30 ml,8906087773849.0,The Derma Co.,Face,Face Serum,Salicylic Acid,30.0
THE0469,2% Kojic Acid Cream 30gm,8906087772064.0,The Derma Co.,Face,Cream,Kojic Acid,30.0
THE0429,1% Hyaluronic Sunscreen Aqua Gel,8906087775713.0,The Derma Co.,Face,Sun Care,Hyaluronic Acid,50.0
THE0427,10% Vitamin C Face Serum 30ml,8906087775607.0,The Derma Co.,Face,Face Serum,Vitamin C,30.0
THE0468,Ultra Matte Sunscreen Gel 50gm,8906087772095.0,The Derma Co.,Face,Sun Care,Zinc,50.0
MAM0152,Vitamin C Face Wash with Vitamin C and Turmeric for Skin Illumination Ã¯Â¿Â½ 100ml,8906087772859.0,Mamaearth,Face,Face Cleanser,Vitamin C,100.0
MAM0179,Mamaearth Ultra Light Indian Sunscreen with Carrot Seed Turmeric & SPF 50 PA+++ - 80ml,8906087771333.0,Mamaearth,Face,Sun Care,Ubtan,80.0
376773.0,Rice Bamboo Sheet Mask,8906087773511.0,Mamaearth,Face,Face Masks,Rice,250.0
442560.0,2% Kojic Acid Face Serum 10 ml,8904417307139.0,The Derma Co.,Face,Face Serum,Kojic Acid,10.0
MAM0153,Tea Tree Facewash for acne & pimples 100ml,8906087770664.0,Mamaearth,Face,Face Cleanser,Tea Tree,100.0
436319.0,TDC 2% Niacinamide Gentle Skin Cleanser,8904417309171.0,The Derma Co.,Face,Face Cleanser,Niacinamide,125.0
MAM0142,Onion Shampoo for Hair Growth and Hair Fall Control with Onion Oil and Plant Keratin 250 ml,8906087771807.0,Mamaearth,Hair,Shampoo,Onion,250.0
442559.0,5% Vitamin C Oil Free Moisturizer,8904417302578.0,The Derma Co.,Face,Moisturisers,Vitamin C,100.0
389347.0,3% Vitamin E Face Moisturizer,8906087776093.0,The Derma Co.,Face,Moisturisers,Vitamin E,100.0
MAM0450,Vitamin C Daily Glow Sunscreen 50 g,8904417305258.0,Mamaearth,Face,Sun Care,Vitamin C,50.0
THE0525,TDC 1% Kojic Acid Face Wash,8904417314755.0,The Derma Co.,Face,Face Cleanser,Kojic Acid,150.0
493655220.0,Glow+ Dewy Sunscreen 50gm,8906087778462.0,Aqualogica,Face,Sun Care,Glow+,50.0
500020562.0,Radiance+ Dewy Sunscreen 50gm,8906087779407.0,Aqualogica,Face,Sun Care,Radiance+,50.0
THE0523,Sali-Cinamide Anti-Acne Serum,8904417306521.0,The Derma Co.,Face,Face Serum,Sali-Cinamide,30.0
THE0549,1% Hyaluronic Sunscreen Aqua Gel 80g,8904417306231.0,The Derma Co.,Face,Sun Care,Hyaluronic Acid,80.0
442561.0,2% Salicylic Acid Face Serum 10 ml,8904417307146.0,The Derma Co.,Face,Face Serum,Salicylic Acid,10.0
388610.0,10% Vitamin C Face Serum 10 ml,8906087775690.0,The Derma Co.,Face,Face Serum,Vitamin C,10.0
THE0526,TDC 2% Sali Cinamide anti-acne face wash 150ml,8904417315141.0,The Derma Co.,Face,Face Cleanser,Sali-Cinamide,150.0
MAM0147,ME Ubtan Natural Glow Face Wash With Turmeric & Saffron 100ml,8906087770671.0,Mamaearth,Face,Face Cleanser,Ubtan,100.0
420084.0,1% Hyaluronic Tinted Sunscreen Gel 50 gm,8906087778363.0,The Derma Co.,Face,Sun Care,Hyaluronic Acid,50.0
THE0550,TDC 2% Salicylic Acid Gel Face Wash,8904417316056.0,The Derma Co.,Face,Face Cleanser,Salicylic Acid,100.0
376757.0,Ceramide + HA Intense Moisturizer 50gm,8906087772071.0,The Derma Co.,Face,Moisturisers,Ceramide,50.0
492367801.0,Ubtan Face Scrub with Turmeric & Walnut for Tan Removal - 100g,8906087772460.0,Mamaearth,Face,Face Scrub,Ubtan,100.0
MAM0140,Onion Hair Oil for Hair Regrowth and Hair Fall Control with Redensyl 150ml,8906087771883.0,Mamaearth,Hair,Hair Oil,Onion,150.0
388750.0,Micro-Tip Salicylic Acid Patches,8906087776017.0,The Derma Co.,Face,Face Masks,Salicylic Acid,24.0
MAM0130,Deeply Nourishing Body Wash For Babies 200ml,8906087770046.0,Mamaearth,Baby,Baby Body Wash,Solution Oriented,200.0
MAM0133,Moisturizing Daily Lotion For Babies 200ml,8906087770008.0,Mamaearth,Baby,Body Lotion,Solution Oriented,200.0
361167.0,Oil-Free Face Moisturizer for Acne-Prone Skin 80ml,8906087771340.0,Mamaearth,Face,Moisturisers,Apple Cider Vinegar,80.0
451791.0,Ceramide & Vitamin C Facewash - 100 ml,8906148700487.0,Dr. Sheth's,Face,Face Cleanser,Ceramide & Vitamin C,100.0
491938238.0,Onion Conditioner for Hair Growth and Hair Fall Control with Onion and Coconut 250ml,8906087771814.0,Mamaearth,Hair,Conditioner,Onion,250.0
442562.0,The Derma Co. 5% Niacinamide Daily Face Serum,8906087778677.0,The Derma Co.,Face,Face Serum,Niacinamide,30.0
380155.0,0.3% RETINOL SERUM 30 ml,8906087773740.0,The Derma Co.,Face,Face Serum,Retinol,30.0
364368.0,Sulfate Free Awesome Orange Toothpaste For Kids With Fluoride,8906087771319.0,Mamaearth,Baby,Oral,Orange,50.0
385058.0,Organic Bamboo Based Baby Wipes 72pcs,8906087770350.0,Mamaearth,Baby,Hygiene,Solution Oriented,72.0
493843354.0,Detan+ Dewy Sunscreen 50 gm,8904417306255.0,Aqualogica,Face,Sun Care,Detan+,50.0
376754.0,20% Vitamin C Serum 20 ml,8906087772057.0,The Derma Co.,Face,Face Serum,Vitamin C,20.0
MAM0136,ME Baby gentle cleansing shampoo 200ml,8906087770022.0,Mamaearth,Baby,Shampoo,Solution Oriented,200.0
