Ship To Name,Direct/Distributor,Chain Name,State,Zone,NSV,MRP value,Brand,Revised month,Month,FY,Channel,Unique,Calulation for unique,Cont%
Apollo Healthco Limited_Bhiwandi,Direct,Apollo Healthco,Mumbai,West,0.4,0.6,Aqualogica,2024-04-01,April'24,FY_24-25,MT,Apollo Healthco Limited_Bhiwandi45383WestMumbaiAqualogicaFY_24-25MTDirectApril'240.4,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Apollo Healthco Limited_Bhiwandi,Direct,Apollo Healthco,Mumbai,West,2.2,4.1,Mamaearth,2024-04-01,April'24,FY_24-25,MT,Apollo Healthco Limited_Bhiwandi45383WestMumbaiMamaearthFY_24-25MTDirectApril'242.2,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Apollo Healthco Limited_Bhiwandi,Direct,Apollo Healthco,Mumbai,West,0.2,0.4,The Derma Co,2024-04-01,April'24,FY_24-25,MT,Apollo Healthco Limited_Bhiwandi45383WestMumbaiThe Derma CoFY_24-25MTDirectApril'240.2,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Apollo Healthco Limited_Faridabad,Direct,Apollo Healthco,Haryana,North,1.4,2.4,Aqualogica,2024-04-01,April'24,FY_24-25,MT,Apollo Healthco Limited_Faridabad45383NorthHaryanaAqualogicaFY_24-25MTDirectApril'241.4,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Apollo Healthco Limited_Faridabad,Direct,Apollo Healthco,Haryana,North,8.4,15.4,Mamaearth,2024-04-01,April'24,FY_24-25,MT,Apollo Healthco Limited_Faridabad45383NorthHaryanaMamaearthFY_24-25MTDirectApril'248.4,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Apollo Healthco Limited_Faridabad,Direct,Apollo Healthco,Haryana,North,3.8,6.3,The Derma Co,2024-04-01,April'24,FY_24-25,MT,Apollo Healthco Limited_Faridabad45383NorthHaryanaThe Derma CoFY_24-25MTDirectApril'243.8,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Apollo Healthco Limited_Rajasthan,Direct,Apollo Healthco,Rajasthan,North,1.8,3.4,Mamaearth,2024-04-01,April'24,FY_24-25,MT,Apollo Healthco Limited_Rajasthan45383NorthRajasthanMamaearthFY_24-25MTDirectApril'241.8,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Apollo Healthco Limited-Bangalore,Direct,Apollo Healthco,Karnataka,South-1,-0.1,-0.1,Mamaearth,2024-04-01,April'24,FY_24-25,MT,Apollo Healthco Limited-Bangalore45383South-1KarnatakaMamaearthFY_24-25MTDirectApril'24-0.1,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Apollo Healthco Ltd_Raipur,Direct,Apollo Healthco,Chattishgarh,West,1.4,2.6,Mamaearth,2024-04-01,April'24,FY_24-25,MT,Apollo Healthco Ltd_Raipur45383WestChattishgarhMamaearthFY_24-25MTDirectApril'241.4,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Avenue E Commerce Limited(Belapur),Direct,D-Mart,Mumbai,West,0.6,1.1,Aqualogica,2024-04-01,April'24,FY_24-25,MT,Avenue E Commerce Limited(Belapur)45383WestMumbaiAqualogicaFY_24-25MTDirectApril'240.6,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Avenue E Commerce Limited(Ck Palya),Direct,D-Mart,Karnataka,South-1,0.4,0.8,Aqualogica,2024-04-01,April'24,FY_24-25,MT,Avenue E Commerce Limited(Ck Palya)45383South-1KarnatakaAqualogicaFY_24-25MTDirectApril'240.4,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Avenue E Commerce Limited(Kanjur),Direct,D-Mart,Mumbai,West,0.6,1.1,Aqualogica,2024-04-01,April'24,FY_24-25,MT,Avenue E Commerce Limited(Kanjur)45383WestMumbaiAqualogicaFY_24-25MTDirectApril'240.6,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Avenue E Commerce Limited(Kiwale),Direct,D-Mart,Pune,West,0.6,1.1,Aqualogica,2024-04-01,April'24,FY_24-25,MT,Avenue E Commerce Limited(Kiwale)45383WestPuneAqualogicaFY_24-25MTDirectApril'240.6,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Avenue E Commerce Limited(Kushaiguda),Direct,D-Mart,Telangana,South-2,0.4,0.8,Aqualogica,2024-04-01,April'24,FY_24-25,MT,Avenue E Commerce Limited(Kushaiguda)45383South-2TelanganaAqualogicaFY_24-25MTDirectApril'240.4,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Avenue E Commerce Limited(Mira Road) N2,Direct,D-Mart,Pune,West,0.6,1.1,Aqualogica,2024-04-01,April'24,FY_24-25,MT,Avenue E Commerce Limited(Mira Road) N245383WestPuneAqualogicaFY_24-25MTDirectApril'240.6,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Avenue E Commerce Limited(Nahur),Direct,D-Mart,Mumbai,West,0.6,1.1,Aqualogica,2024-04-01,April'24,FY_24-25,MT,Avenue E Commerce Limited(Nahur)45383WestMumbaiAqualogicaFY_24-25MTDirectApril'240.6,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Avenue E Commerce Limited_3826,Direct,D-Mart,Gujarat,West,0.6,1.1,Aqualogica,2024-04-01,April'24,FY_24-25,MT,Avenue E Commerce Limited_382645383WestGujaratAqualogicaFY_24-25MTDirectApril'240.6,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Avenue E Commerce Limited_GachibowlI,Direct,D-Mart,Telangana,South-2,0.5,1.0,Aqualogica,2024-04-01,April'24,FY_24-25,MT,Avenue E Commerce Limited_GachibowlI45383South-2TelanganaAqualogicaFY_24-25MTDirectApril'240.5,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Avenue E Commerce Limited_Panvel-2,Direct,D-Mart,Pune,West,0.4,0.8,Aqualogica,2024-04-01,April'24,FY_24-25,MT,Avenue E Commerce Limited_Panvel-245383WestPuneAqualogicaFY_24-25MTDirectApril'240.4,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Avenue E Commerce Ltd._Hennur Fc-Ka,Direct,D-Mart,Karnataka,South-1,0.4,0.8,Aqualogica,2024-04-01,April'24,FY_24-25,MT,Avenue E Commerce Ltd._Hennur Fc-Ka45383South-1KarnatakaAqualogicaFY_24-25MTDirectApril'240.4,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Avenue E Commerce Ltd_3919-Sardarnagar,Direct,D-Mart,Gujarat,West,0.4,0.8,Aqualogica,2024-04-01,April'24,FY_24-25,MT,Avenue E Commerce Ltd_3919-Sardarnagar45383WestGujaratAqualogicaFY_24-25MTDirectApril'240.4,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Avenue E Commerce Ltd_3925-Jahangirabad.,Direct,D-Mart,Gujarat,West,0.6,1.1,Aqualogica,2024-04-01,April'24,FY_24-25,MT,Avenue E Commerce Ltd_3925-Jahangirabad.45383WestGujaratAqualogicaFY_24-25MTDirectApril'240.6,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Avenue E Commerce Ltd_4047-Vasai Waliv,Direct,D-Mart,Mumbai,West,0.4,0.8,Aqualogica,2024-04-01,April'24,FY_24-25,MT,Avenue E Commerce Ltd_4047-Vasai Waliv45383WestMumbaiAqualogicaFY_24-25MTDirectApril'240.4,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Avenue E Commerce Ltd_CadburyFC.,Direct,D-Mart,Mumbai,West,0.6,1.1,Aqualogica,2024-04-01,April'24,FY_24-25,MT,Avenue E Commerce Ltd_CadburyFC.45383WestMumbaiAqualogicaFY_24-25MTDirectApril'240.6,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Avenue E Commerce Ltd_Goregaon,Direct,D-Mart,Mumbai,West,0.4,0.8,Aqualogica,2024-04-01,April'24,FY_24-25,MT,Avenue E Commerce Ltd_Goregaon45383WestMumbaiAqualogicaFY_24-25MTDirectApril'240.4,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Avenue E Commerce Ltd_Hoodi FC,Direct,D-Mart,Karnataka,South-1,0.4,0.8,Aqualogica,2024-04-01,April'24,FY_24-25,MT,Avenue E Commerce Ltd_Hoodi FC45383South-1KarnatakaAqualogicaFY_24-25MTDirectApril'240.4,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Avenue E Commerce Ltd_Manpada,Direct,D-Mart,Mumbai,West,0.4,0.8,Aqualogica,2024-04-01,April'24,FY_24-25,MT,Avenue E Commerce Ltd_Manpada45383WestMumbaiAqualogicaFY_24-25MTDirectApril'240.4,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Avenue E Commerce Ltd_PeddaAmberpetFC,Direct,D-Mart,Telangana,South-2,0.4,0.8,Aqualogica,2024-04-01,April'24,FY_24-25,MT,Avenue E Commerce Ltd_PeddaAmberpetFC45383South-2TelanganaAqualogicaFY_24-25MTDirectApril'240.4,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Avenue E Commerce Ltd_SanandFC,Direct,D-Mart,Gujarat,West,0.4,0.8,Aqualogica,2024-04-01,April'24,FY_24-25,MT,Avenue E Commerce Ltd_SanandFC45383WestGujaratAqualogicaFY_24-25MTDirectApril'240.4,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Avenue E Commerce Ltd_Wagholi,Direct,D-Mart,Pune,West,0.4,0.8,Aqualogica,2024-04-01,April'24,FY_24-25,MT,Avenue E Commerce Ltd_Wagholi45383WestPuneAqualogicaFY_24-25MTDirectApril'240.4,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Avenue Supermarts Ltd.-4905,Direct,D-Mart,Chattishgarh,West,0.9,2.4,Mamaearth,2024-04-01,April'24,FY_24-25,MT,Avenue Supermarts Ltd.-490545383WestChattishgarhMamaearthFY_24-25MTDirectApril'240.9,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Avenue Supermarts Ltd.-DC-1032,Direct,D-Mart,Karnataka,South-1,92.4,231.1,Mamaearth,2024-04-01,April'24,FY_24-25,MT,Avenue Supermarts Ltd.-DC-103245383South-1KarnatakaMamaearthFY_24-25MTDirectApril'2492.4,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Avenue Supermarts Ltd.-DC-1039,Direct,D-Mart,Mumbai,West,2.1,4.1,BBlunt,2024-04-01,April'24,FY_24-25,MT,Avenue Supermarts Ltd.-DC-103945383WestMumbaiBBluntFY_24-25MTDirectApril'242.1,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Avenue Supermarts Ltd.-DC-1039,Direct,D-Mart,Mumbai,West,237.8,602.2,Mamaearth,2024-04-01,April'24,FY_24-25,MT,Avenue Supermarts Ltd.-DC-103945383WestMumbaiMamaearthFY_24-25MTDirectApril'24237.8,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Avenue Supermarts Ltd.-DC-1049,Direct,D-Mart,Madhya Pradesh,North,44.1,115.5,Mamaearth,2024-04-01,April'24,FY_24-25,MT,Avenue Supermarts Ltd.-DC-104945383NorthMadhya PradeshMamaearthFY_24-25MTDirectApril'2444.1,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
