Month,Status,GMV_MRP_Sales_L,NSV_L,COGS_Pct,Logistics_Pct,COGS_Basis,Logistics_Basis,COGS_L,Logistics_L,Total_Cost_L,Provisional_CM2_L,Provisional_CM2_Pct
Apr-26,CALCULATED,11760.60,5069.17,14.05,2.97,GMV_MRP_SALES,NSV,1652.36,150.55,1802.92,3266.25,64.43
May-26,CALCULATED,10275.28,4416.06,13.67,2.83,GMV_MRP_SALES,NSV,1404.63,124.97,1529.61,2886.45,65.36
Jun-26,CALCULATED,9300.91,4167.36,14.56,4.09,GMV_MRP_SALES,NSV,1354.21,170.45,1524.66,2642.70,63.41
Jul-26,NO_SALES_MONTH,,0.00,13.37,4.20,GMV_MRP_SALES,NSV,,,,,
Aug-26,NO_SALES_MONTH,,0.00,13.60,4.14,GMV_MRP_SALES,NSV,,,,,
Sep-26,NO_SALES_MONTH,,0.00,13.64,4.51,GMV_MRP_SALES,NSV,,,,,
Oct-26,NO_SALES_MONTH,,0.00,15.22,4.58,GMV_MRP_SALES,NSV,,,,,
Nov-26,NO_SALES_MONTH,,0.00,15.50,4.42,GMV_MRP_SALES,NSV,,,,,
Dec-26,NO_SALES_MONTH,,0.00,15.72,4.24,GMV_MRP_SALES,NSV,,,,,
Jan-27,NO_SALES_MONTH,,0.00,15.11,4.42,GMV_MRP_SALES,NSV,,,,,
Feb-27,NO_SALES_MONTH,,0.00,14.50,3.90,GMV_MRP_SALES,NSV,,,,,
Mar-27,NO_SALES_MONTH,,0.00,14.32,3.79,GMV_MRP_SALES,NSV,,,,,
FY27 CALCULATED TOTAL (3 months),SUBTOTAL_CALCULATED_ONLY,31336.79,13652.59,14.08,3.27,GMV_MRP_SALES,NSV,4411.21,445.97,4857.18,8795.41,64.42
